TX,79936
CA,90011
NY,11226
NJ,08701
TN,37211
GA,30043
VA,22193
KS,66062
NV,89110
AZ,85364
NM,87121
AK,99504
AL,35242
AR,72764
CO,80013
CT,06902
DC,20011
DE,19720
FL,33012
HI,96797
IA,52001
ID,83301
IL,60629
IN,46307
KY,40475
LA,70072
MA,02301
MD,20906
ME,04401
MI,48180
MN,55106
MO,63376
MS,39503
MT,59901
NC,28269
ND,58103
NE,68516
NH,03103
OH,45011
OK,73099
OR,97007
PA,19120
RI,02860
SC,29483
SD,57106
UT,84015
VT,05401
WA,99301
WI,53215
WV,26003
WY,82001
